CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,nucIntens0,nucIntens1,nucIntens2,nucIntens3
6,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,3451,1297,6116,1156
8,35,118,17,99,18,0,3.5,134,0,1,0,0,0,0,23,0,0,0,18,3898,1510,5734,1623
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2715,1443,4779,1111
10,8,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,3446,1505,5105,1155
11,14,317,3,304,11,0,8,318,1,2,27,0,0,0,97,12,0,0,18,4881,1224,5190,1839
12,10,154,8,152,2,0,0,162,0,0,0,0,0,0,0,0,0,0,18,5796,1361,5713,1397
13,15,11,15,11,0,0,0,26,0,0,0,0,0,0,0,0,0,0,18,6408,1471,5812,1306
14,7,216,0,208,7,0,3,215,1,1,5,0,0,0,18,0,0,0,18,4148,1184,4309,1455
15,2,4,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,4760,1335,5228,1273
16,8,4,8,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,18,4429,1415,5107,1264
17,147,152,51,56,96,1,1,203,0,0,0,0,0,0,0,0,0,0,18,2953,1432,5949,1336
18,16,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,18,3048,1516,5772,1155
19,16,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,18,2659,1320,5758,1142
20,42,4,42,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,18,4621,1759,7725,1239
21,199,241,62,101,137,4,6,300,0,0,0,0,0,0,0,0,0,0,18,3178,1435,7186,1496
22,19,3,19,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,18,4638,1466,9597,1287
23,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,2333,1199,5321,1183
24,13,6,13,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,18,3062,1323,6883,1286
25,22,14,14,6,8,0,0,28,0,0,0,0,0,0,0,0,0,0,18,2526,1433,6090,1241
26,28,14,22,8,6,0,0,36,0,0,0,0,0,0,0,0,0,0,18,2589,1544,6276,1188
27,139,391,45,297,94,0,4,436,0,0,0,0,0,0,0,0,0,0,18,3977,1488,5215,1556
28,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,3128,883,6790,1270
29,101,7,101,7,0,2,0,108,0,0,0,0,0,0,0,0,0,0,18,3592,1845,8208,1284
30,125,254,61,187,64,1,3,312,0,0,0,0,0,0,0,0,0,0,18,3544,1403,6763,1465
31,128,224,54,148,74,1,6,276,0,0,0,0,0,0,0,0,0,0,18,3788,1389,6005,1470
32,105,84,42,22,62,1,0,126,0,0,0,0,0,0,0,0,0,0,18,2794,1494,9561,1211
33,29,29,9,9,20,0,0,38,0,0,0,0,0,0,0,0,0,0,18,2757,1417,5820,1196
34,3,4,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,18,2589,1292,8347,1219
35,205,4,204,3,1,5,0,208,0,0,0,0,0,0,0,0,0,0,18,3280,2225,10984,1250
36,372,265,213,106,159,5,5,478,0,1,0,0,0,0,5,0,0,0,18,3333,2707,9750,1631
37,163,117,107,59,56,3,3,222,0,0,0,0,0,0,0,0,0,0,18,2796,1787,6684,1318
38,173,118,129,74,44,1,1,247,0,0,0,0,0,0,0,0,0,0,18,2524,1675,5747,1277
39,327,296,128,96,199,6,8,423,0,0,0,0,0,0,0,0,0,0,18,2900,1677,5698,1564
40,251,210,100,57,151,2,7,308,0,1,0,0,0,0,9,0,0,0,18,3144,1840,6176,1519
41,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,2627,815,5603,1177
42,269,255,88,75,180,2,2,343,0,0,0,0,0,0,0,0,0,0,18,3587,1536,6667,1456
43,92,155,39,102,53,0,1,194,0,0,0,0,0,0,0,0,0,0,18,2146,1132,5922,1270
44,229,227,94,92,135,1,5,321,0,0,0,0,0,0,0,0,0,0,18,4266,1665,7179,1521
45,20,4,20,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,18,3783,1609,6825,1215
47,424,389,179,133,245,4,6,557,0,0,0,0,0,0,0,0,0,0,18,3443,1716,6995,1640
48,4,4,3,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,18,2463,1204,5276,1134
49,166,109,99,44,65,0,1,208,0,0,0,0,0,0,0,0,0,0,18,2287,1617,5134,1274
50,54,40,49,35,5,1,0,89,1,0,5,0,0,0,0,0,0,0,18,3711,1941,6678,1308
51,41,30,38,27,3,0,0,68,0,0,0,0,0,0,0,0,0,0,18,3601,1964,7346,1287
52,218,222,92,97,125,2,2,314,0,0,0,0,0,0,0,0,0,0,18,2946,1529,5857,1466
53,253,191,115,54,137,1,0,306,0,0,0,0,0,0,0,0,0,0,18,3494,1807,5405,1347
54,104,76,43,15,61,1,2,119,0,0,0,0,0,0,0,0,0,0,18,3932,1922,5988,1440
55,104,58,68,22,36,0,1,126,0,0,0,0,0,0,0,0,0,0,18,3890,1880,5843,1325
56,12,11,12,11,0,0,0,23,0,0,0,0,0,0,0,0,0,0,18,2917,1492,7640,1290
57,184,167,85,67,99,1,2,251,0,0,0,0,0,0,0,0,0,0,18,3066,1665,4584,1316
58,3,6,3,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,18,3252,1496,7079,1306
59,68,52,36,20,32,0,1,88,0,0,0,0,0,0,0,0,0,0,18,3262,1727,5603,1334
60,149,145,68,66,79,3.5,7,213,0,0,0,0,0,0,0,0,0,0,18,3548,2111,6461,1655
63,175,152,67,44,108,2,1,219,0,0,0,0,0,0,0,0,0,0,18,2933,1585,5813,1403
64,224,195,89,62,133,3,3,284,0,0,0,0,0,0,0,0,0,0,18,2895,1716,5816,1412
65,201,218,70,85,131,3,8,286,0,0,0,0,0,0,0,0,0,0,18,3454,1617,7013,1569
66,136,147,46,57,90,1,0,193,0,0,0,0,0,0,0,0,0,0,18,2718,1281,6434,1346
67,149,159,71,81,78,1,0,230,0,0,0,0,0,0,0,0,0,0,18,2803,1550,5687,1373
68,146,183,60,93,86,1,2,239,0,0,0,0,0,0,0,0,0,0,18,3136,1435,7506,1414
69,204,201,96,92,108,3,0,296,0,0,0,0,0,0,0,0,0,0,18,2573,1462,5567,1386
70,128,150,49,70,79,1,3,198,0,0,0,0,0,0,0,0,0,0,18,3087,1391,5918,1384
71,30,35,28,33,2,1,0,63,0,0,0,0,0,0,0,0,0,0,18,3122,1642,5831,1217
72,41,36,38,33,3,0,0,74,0,0,0,0,0,0,0,0,0,0,18,3291,1810,4961,1256
73,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,3727,1419,5878,1220
74,13,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,2457,1504,6138,1190
75,266,68,247,49,19,0,0,315,0,0,0,0,0,0,0,0,0,0,18,2080,4242,6545,1230
76,512,413,253,154,259,7,8,666,0,0,0,0,0,0,0,0,0,0,18,4122,2303,7933,1692
77,153,170,62,74,91,0,1,227,0,0,0,0,0,0,0,0,0,0,18,2353,1472,5869,1324
78,6,5,6,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,18,3940,1560,7185,1282
79,180,177,71,68,109,1,1,248,0,0,0,0,0,0,0,0,0,0,18,2663,1436,5845,1424
80,6,4,6,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,2676,1350,5718,1283
81,418,385,193,157,225,3,2,575,0,0,0,0,0,0,0,0,0,0,18,2828,1732,5379,1421
82,8,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,2722,1326,5204,1152
83,407,398,156,140,251,2,8.5,547,0,0,0,0,0,0,0,0,0,0,18,3542,1793,6044,1578
84,2,4,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,2915,1243,4944,1207
85,370,376,138,146,230,5,8,514,0,0,0,0,0,0,0,0,0,0,18,3664,1769,6987,1602
86,420,362,166,110,252,4,2,528,0,0,0,0,0,0,0,0,0,0,18,3456,1746,5680,1481
89,448,407,241,202,205,6,3,648,0,0,0,0,0,0,0,0,0,0,18,2618,1647,6733,1466
90,204,126,161,80,43,2,2,284,0,0,0,0,0,0,0,0,0,0,18,2456,1614,5098,1234
91,198,123,129,54,69,1,2,252,0,0,0,0,0,0,0,0,0,0,18,1980,1805,5418,1239
92,189,114,134,59,55,3,0,248,0,0,0,0,0,0,0,0,0,0,18,2236,1727,5333,1278
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1483,1011,2420,877
94,40,33,24,17,16,0,0,57,0,0,0,0,0,0,0,0,0,0,18,1898,1390,3687,1081
95,63,240,20,195,43,0,6,258,0,0,0,0,0,0,0,0,0,0,18,3294,1174,5694,1388
96,218,163,108,51,110,1,0,269,0,0,0,0,0,0,0,0,0,0,18,2125,1648,4213,1258
98,89,433,77,421,12,0,7,510,0,0,0,0,0,0,0,0,0,0,18,3712,5964,7339,1580
99,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,3692,1336,7052,1259
100,255,184,140,68,115,0,3,323,0,0,0,0,0,0,0,0,0,0,18,2880,1641,4945,1364
102,142,55,101,15,40,0,0,156,0,0,0,0,0,0,0,0,0,0,18,3406,1873,4979,1294
103,40,24,27,11,13,0,0,51,0,0,0,0,0,0,0,0,0,0,18,2555,1411,11334,1214
104,222,130,158,65,64,0,0,287,0,0,0,0,0,0,0,0,0,0,18,2809,1937,7270,1350
0,0,40,0,40,0,0,1,40,0,0,0,0,0,0,0,0,0,0,300,3214,1141,4829,1306
1,30,77,18,64,12,0,9,94,0,0,0,0,0,0,0,0,0,0,300,4025,1415,4906,1390
2,0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,300,5709,1135,6598,1404
3,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,300,4579,1007,5433,1325
4,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,300,3512,1303,6721,1254
5,24,55,20,51,4,0,5,75,0,0,0,0,0,0,0,0,0,0,300,3724,1586,8545,1341
6,8,25,6,23,2,0,0,31,0,0,0,0,0,0,0,0,0,0,300,3975,1528,6800,1313
7,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,300,3273,1289,6800,1217
8,0,10,0,10,0,0,2,10,0,0,0,0,0,0,0,0,0,0,300,4573,1182,6723,1296
9,0,6,0,6,0,0,1,6,0,1,0,0,0,0,39,0,0,0,300,3786,1206,5730,1224
10,10,7,10,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,300,4801,1419,7690,1288
11,27,77,22,72,5,0,2,99,0,0,0,0,0,0,0,0,0,0,300,3793,1459,8588,1441
12,2,20,2,20,0,0,0,22,0,0,0,0,0,0,0,0,0,0,300,3948,1306,8874,1392
13,4,37,4,37,0,0,0,41,0,0,0,0,0,0,0,0,0,0,300,3246,1346,6431,1348
14,0,20,0,20,0,0,1,20,0,0,0,0,0,0,0,0,0,0,300,3716,1265,6500,1378
15,0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,300,3259,1174,4277,1333
16,0,17,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,300,3498,1248,6731,1359
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,4816,831,2162,1311
18,0,17,0,17,0,0,1.5,17,0,0,0,0,0,0,0,0,0,0,300,3990,873,2255,1356
19,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,300,3741,999,2292,1337
20,0,4,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,300,4197,963,2150,1254
21,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,300,4130,920,2126,1273
22,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,300,2636,1007,1967,1172
23,0,4,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,300,2802,919,2021,1199
24,5,18,5,18,0,0,2,23,0,0,0,0,0,0,0,0,0,0,300,3961,1316,4484,1336
25,4,5,4,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,300,3998,1304,5200,1313
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2238,896,2984,1123
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2540,981,2916,1198
28,97,51,93,47,4,26,0,144,0,0,0,0,0,0,0,0,0,0,300,3983,1525,3377,1334
29,53,10,53,10,0,18.5,0,63,0,0,0,0,0,0,0,0,0,0,300,3436,1429,3211,1298
30,0,24,0,24,0,0,1,24,0,0,0,0,0,0,0,0,0,0,300,4832,1228,7784,1362
31,0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,300,4560,1241,7771,1352
32,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,300,5059,1143,8059,1343
33,0,21,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,300,3343,1117,5834,1333
34,0,17,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,300,4412,1062,6820,1369
35,10,123,5,118,5,0,5,128,0,0,0,0,0,0,0,0,0,0,300,3703,1413,7408,1492
36,16,37,16,37,0,0,2,53,0,0,0,0,0,0,0,0,0,0,300,4025,1408,8955,1426
37,8,44,7,43,1,0,4,51,0,0,0,0,0,0,0,0,0,0,300,3819,1261,6527,1403
38,3,12,3,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,300,4228,1199,7537,1284
39,19,111,14,106,5,0,9,125,0,1,0,0,0,0,9,0,0,0,300,4560,1467,9890,1367
40,4,12,4,12,0,1,0,16,0,0,0,0,0,0,0,0,0,0,300,3225,1390,12933,1336
41,5,21,5,21,0,0,0,26,0,0,0,0,0,0,0,0,0,0,300,4210,1486,7706,1386
42,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,300,2646,1313,5567,1250
43,0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,300,3703,1232,7740,1350
44,48,8,48,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,300,4084,1754,9398,1357
45,2,8,2,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,300,3585,1162,6158,1330
46,16,40,15,39,1,0,3,55,0,0,0,0,0,0,0,0,0,0,300,5473,1660,5979,1358
47,0,24,0,24,0,0,2,24,0,0,0,0,0,0,0,0,0,0,300,4723,1437,5241,1326
48,0,48,0,48,0,0,6,48,0,0,0,0,0,0,0,0,0,0,300,4173,995,7255,1344
49,0,22,0,22,0,0,1,22,0,0,0,0,0,0,0,0,0,0,300,3839,1312,8063,1380
50,0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,300,3674,1239,5921,1356
51,0,12,0,12,0,0,1,12,0,0,0,0,0,0,0,0,0,0,300,3368,1296,4836,1223
52,9,34,9,34,0,0,4,43,0,0,0,0,0,0,0,0,0,0,300,4248,1399,6156,1308
53,2,13,2,13,0,0,1,15,0,0,0,0,0,0,0,0,0,0,300,2995,1311,5487,1222
54,7,27,7,27,0,0,0,34,0,0,0,0,0,0,0,0,0,0,300,5897,1458,8081,1435
55,83,78,69,63,14,1,1,146,0,0,0,0,0,0,0,0,0,0,300,5783,1836,9065,1422
56,9,31,9,31,0,0,2,40,0,4,0,0,0,0,51,23,13,12,300,3475,1391,5481,1402
57,9,21,9,21,0,1,0,30,0,0,0,0,0,0,0,0,0,0,300,3008,1402,5576,1244
58,24,65,14,54,10,0,3.5,78,0,0,0,0,0,0,0,0,0,0,300,3749,1451,5692,1426
59,21,73,17,69,4,0,1,90,0,0,0,0,0,0,0,0,0,0,300,3153,1395,5127,1309
60,9,18,9,18,0,0,0,27,0,0,0,0,0,0,0,0,0,0,300,3511,1426,6554,1320
61,15,25,15,25,0,0,0,40,0,0,0,0,0,0,0,0,0,0,300,3030,1366,6437,1299