nType0,nType1,nTotal
526,470,636
330,295,434
0,0,0
276,281,399
322,283,425
44,0,44
0,0,0
13,0,13
0,0,0
0,0,0
379,299,520
0,0,0
0,0,0
0,0,0
216,226,291
185,196,262
249,261,352
318,296,419
205,183,255
278,296,380
221,203,302
285,274,408
391,238,484
380,306,519
283,233,383
300,241,399
296,234,403
91,126,192
216,231,360
0,0,0
0,0,0
276,300,382
161,227,278
277,231,364
177,166,237
249,258,345
234,195,324
219,239,330
0,7,7
41,0,41
268,238,374
203,168,281
0,0,0
0,0,0
37,0,37
305,258,432
0,0,0
208,205,313
198,202,332
0,0,0
0,0,0
0,0,0
206,337,410
146,175,235
281,284,427
190,170,258
0,0,0
0,0,0
0,0,0
251,240,346
294,255,408
105,0,105
0,117,117
114,99,158
68,51,89
0,0,0
0,0,0
0,0,0
0,0,0
436,366,602
0,0,0
333,278,453
0,0,0
0,0,0
161,129,220
138,174,256
0,0,0
0,0,0
0,0,0
243,218,298
282,276,390
428,364,605
50,0,50
322,303,462
297,306,461
34,0,34
318,293,476
0,0,0
152,180,224
0,0,0
127,126,178
292,305,414
401,306,500
444,372,545
170,148,231
0,0,0
0,0,0
529,411,689
407,295,510
334,335,494
0,0,0
205,181,287
88,0,88
181,94,232
289,260,415
20,0,20
0,0,0
447,414,580
427,404,567
120,122,169
0,0,0
284,296,416
135,118,171
95,0,95
241,261,381
50,0,50
38,0,38
176,0,176
484,410,649
114,0,114
260,222,371
156,135,230
202,207,328
119,0,119
147,0,147
180,138,255
114,0,114
283,222,371
319,272,412
405,324,529
369,272,494
55,0,55
0,0,0
0,82,82
48,0,48
0,0,0
0,0,0
214,176,333
286,262,341
207,206,285
289,356,512
280,264,366
279,263,382
119,205,243
169,0,169
547,466,755
0,0,0
61,0,61
235,219,331
238,205,319
0,0,0
0,0,0
69,57,102
57,0,57
165,172,290
0,0,0
0,0,0
0,0,0
168,247,317
186,250,343
62,144,177
0,0,0
0,0,0
35,118,140
0,0,0
0,0,0
14,317,320
0,154,154
0,0,0
7,216,217
0,0,0
0,0,0
147,152,219
0,0,0
0,0,0
42,0,42
199,241,323
0,0,0
0,0,0
0,0,0
0,0,0
28,0,28
139,391,445
0,0,0
101,0,101
125,254,327
128,224,292
105,84,130
0,0,0
0,0,0
205,0,205
372,265,516
163,117,240
173,118,258
328,296,452
251,212,344
0,0,0
269,255,387
0,155,155
229,230,357
20,0,20
0,0,0
424,390,626
0,0,0
166,109,228
54,0,54
41,30,69
218,222,328
253,191,326
104,76,131
104,0,104
0,0,0
184,167,262
0,0,0
68,52,103
149,145,238
0,0,0
0,0,0
175,152,239
224,195,306
201,218,312
136,147,215
149,159,242
146,183,267
204,201,319
128,150,221
30,0,30
41,36,75
0,0,0
13,0,13
266,68,321
512,413,713
153,170,239
0,0,0
180,177,266
0,0,0
418,385,616
0,0,0
407,397,581
0,0,0
370,374,569
421,362,564
0,0,0
0,0,0
448,407,690
204,126,296
198,122,269
189,114,266
0,0,0
0,0,0
0,240,240
218,163,286
0,0,0
89,433,511
0,0,0
255,184,342
0,0,0
142,55,165
0,0,0
222,130,304
0,0,0
0,40,40
30,77,96
0,0,0
0,0,0
0,0,0
24,55,75
0,25,25
0,0,0
0,10,10
0,6,6
10,0,10
0,40,40
0,75,75
0,0,0
0,0,0
0,77,77
0,0,0
0,37,37
0,20,20
0,0,0
0,0,0
0,0,0
0,17,17
97,9,106
53,0,53
0,0,0
0,0,0
0,0,0
0,18,18
0,5,5
0,0,0
0,0,0
0,0,0
0,0,0
0,24,24
0,0,0
0,12,12
48,21,69
0,0,0
0,123,123
0,37,37
0,44,44
0,0,0
0,111,111
0,0,0
0,0,0
0,0,0
7,0,7
83,0,83
0,0,0
0,40,40
24,24,48
21,48,69
0,22,22
15,0,15
0,12,12
0,34,34
0,0,0
0,27,27
0,78,78
0,31,31
0,0,0
0,65,65
0,73,73
0,0,0
0,0,0