cell_number,time_index,RNA_nuc,RNA_cyto,RNA_total,Rep_num
0,0,2,4,6,1
1,0,2,9,11,1
2,0,20,75,95,1
3,0,72,98,173,1
4,0,9,65,74,1
5,0,31,111,142,1
6,0,53,79,134,1
7,0,9,24,33,1
8,0,35,100,135,1
9,0,50,100,152,1
10,0,15,43,58,1
11,0,17,31,50,1
12,0,61,147,216,1
13,0,41,65,107,1
14,0,32,109,142,1
15,0,24,55,82,1
16,0,12,40,52,1
17,0,30,60,93,1
18,0,16,22,38,1
19,0,16,12,29,1
20,0,32,54,87,1
21,0,10,16,26,1
22,0,15,40,55,1
23,0,21,57,78,1
24,0,50,135,186,1
25,0,32,96,128,1
26,0,2,14,16,1
27,0,26,165,195,1
28,0,53,35,90,1
29,0,13,11,24,1
30,0,7,27,34,1
31,0,37,45,84,1
32,0,31,72,103,1
33,0,15,35,50,1
34,0,80,121,204,1
35,0,0,2,2,1
36,0,9,34,43,1
37,0,1,9,10,1
38,0,23,41,65,1
39,0,29,53,82,1
40,0,16,15,31,1
41,0,70,266,343,1
42,0,3,7,10,1
43,0,23,41,67,1
44,0,7,72,80,1
45,0,3,22,25,1
46,0,15,70,85,1
47,0,36,86,124,1
48,0,15,15,30,1
49,0,10,21,33,1
50,0,0,4,4,1
51,0,16,27,43,1
52,0,32,68,101,1
53,0,10,9,19,1
54,0,27,28,56,1
55,0,7,17,24,1
56,0,29,33,66,1
57,0,36,30,67,1
58,0,33,84,121,1
59,0,24,36,60,1
60,0,20,28,49,1
61,0,37,86,125,1
62,0,11,45,57,1
63,0,21,29,50,1
64,0,24,40,65,1
65,0,2,2,4,1
66,0,5,13,18,1
67,0,11,2,13,1
68,0,0,1,1,1
69,0,17,34,53,1
70,0,15,52,68,1
71,0,94,98,197,1
72,0,38,64,102,1
73,0,41,68,111,1
74,0,3,7,10,1
75,0,12,41,53,1
76,0,36,85,123,1
77,0,54,63,118,1
78,0,49,45,96,1
79,0,26,28,54,1
80,0,19,50,71,1
81,0,42,81,126,1
82,0,20,51,71,1
83,0,35,96,134,1
84,0,13,48,61,1
85,0,22,49,72,1
86,0,5,29,34,1
87,0,12,24,36,1
88,0,16,27,43,1
89,0,18,12,30,1
90,0,6,10,16,1
91,0,1,5,6,1
92,0,7,18,25,1
93,0,9,25,34,1
94,0,19,28,49,1
95,0,28,44,76,1
96,0,13,30,44,1
97,0,11,5,16,1
98,0,12,12,24,1
99,0,19,86,106,1
2108,50,84,117,205,1
2109,50,16,100,118,1
2110,50,58,205,267,1
2111,50,99,124,228,1
2112,50,62,194,264,1
2113,50,104,187,296,1
2114,50,47,78,125,1
2115,50,119,203,328,1
2116,50,46,64,110,1
2117,50,124,202,335,1
2118,50,103,180,295,1
2119,50,48,91,139,1
2120,50,135,280,421,1
2121,50,50,88,138,1
2122,50,5,16,21,1
2123,50,79,186,269,1
2124,50,74,130,213,1
2125,50,76,168,248,1
2126,50,65,156,227,1
2127,50,77,121,205,1
2128,50,62,127,192,1
2129,50,19,24,43,1
2130,50,29,39,75,1
2131,50,44,33,77,1
2132,50,39,19,59,1
2133,50,36,74,110,1
2134,50,49,105,156,1
2135,50,167,181,356,1
2136,50,80,134,214,1
2137,50,183,221,424,1
2138,50,55,139,195,1
2139,50,154,271,437,1
2140,50,35,97,133,1
2141,50,136,202,344,1
2142,50,150,266,429,1
2143,50,35,76,111,1
2144,50,65,89,155,1
2145,50,18,46,65,1
2146,50,93,174,273,1
2147,50,101,181,293,1
2148,50,65,188,258,1
2149,50,119,206,336,1
2150,50,84,196,284,1
2151,50,111,187,301,1
2152,50,24,41,65,1
2153,50,32,66,98,1
2154,50,80,212,295,1
2155,50,4,9,13,1
2156,50,19,32,51,1
2157,50,52,110,166,1
2158,50,12,36,48,1
2159,50,193,332,552,1
2160,50,88,256,354,1
2161,50,10,26,37,1
2162,50,180,206,400,1
2163,50,68,89,161,1
2164,50,83,57,144,1
2165,50,106,152,260,1
2166,50,9,17,26,1
2167,50,170,199,386,1
2168,50,40,94,134,1
2169,50,57,84,143,1
2170,50,20,22,42,1
2171,50,57,83,140,1
2172,50,16,62,85,1
2173,50,25,51,76,1
2174,50,12,16,28,1
2175,50,18,52,70,1
2176,50,23,44,68,1
2177,50,90,79,176,1
2178,50,62,302,371,1
2179,50,63,181,248,1
2180,50,73,161,237,1
2181,50,47,105,156,1
2182,50,72,160,233,1
2183,50,13,16,29,1
2184,50,31,77,109,1
2185,50,12,41,53,1
2186,50,4,9,13,1
2187,50,115,173,292,1
2188,50,73,144,220,1
2189,50,165,370,552,1
2190,50,58,55,117,1
2191,50,121,185,308,1
2192,50,69,100,174,1
2193,50,40,70,112,1
2194,50,16,103,119,1
2195,50,26,25,51,1
2196,50,12,65,78,1
2197,50,31,60,91,1
2198,50,29,96,125,1
2199,50,7,11,18,1
2200,50,9,9,18,1
2201,50,6,9,15,1
2202,50,127,281,415,1
2203,50,84,116,203,1
2204,50,73,223,300,1
2205,50,96,199,301,1
2206,50,169,231,408,1
2207,50,29,108,137,1
4629,180,78,154,235,1
4630,180,50,116,169,1
4631,180,8,71,80,1
4632,180,24,70,94,1
4633,180,35,78,115,1
4634,180,59,96,157,1
4635,180,15,53,68,1
4636,180,69,114,187,1
4637,180,52,139,196,1
4638,180,39,84,126,1
4639,180,2,43,45,1
4640,180,45,91,138,1
4641,180,42,110,152,1
4642,180,8,30,38,1
4643,180,13,67,80,1
4644,180,71,145,217,1
4645,180,12,25,37,1
4646,180,63,119,186,1
4647,180,44,62,106,1
4648,180,88,110,206,1
4649,180,11,22,33,1
4650,180,22,61,84,1
4651,180,64,114,183,1
4652,180,81,141,225,1
4653,180,49,89,139,1
4654,180,40,55,95,1
4655,180,78,133,212,1
4656,180,19,98,117,1
4657,180,78,136,217,1
4658,180,6,18,24,1
4659,180,17,37,54,1
4660,180,29,39,68,1
4661,180,4,13,17,1
4662,180,2,4,6,1
4663,180,3,8,11,1
4664,180,32,56,89,1
4665,180,48,105,159,1
4666,180,32,75,110,1
4667,180,40,121,163,1
4668,180,60,129,190,1
4669,180,27,63,90,1
4670,180,50,91,142,1
4671,180,103,202,311,1
4672,180,4,12,16,1
4673,180,36,85,121,1
4674,180,59,132,195,1
4675,180,85,141,230,1
4676,180,58,121,180,1
4677,180,55,66,121,1
4678,180,56,121,181,1
4679,180,10,34,44,1
4680,180,33,81,114,1
4681,180,19,33,52,1
4682,180,26,35,62,1
4683,180,11,31,42,1
4684,180,46,115,164,1
4685,180,70,161,236,1
4686,180,125,185,321,1
4687,180,68,109,183,1
4688,180,19,28,47,1
4689,180,43,71,114,1
4690,180,43,120,167,1
4691,180,82,157,240,1
4692,180,72,154,229,1
4693,180,28,49,77,1
4694,180,54,132,187,1
4695,180,20,54,74,1
4696,180,14,38,52,1
4697,180,62,136,201,1
4698,180,101,190,297,1
4699,180,51,140,194,1
4700,180,22,57,81,1
4701,180,83,201,292,1
4702,180,104,246,353,1
4703,180,108,261,373,1
4704,180,121,330,460,1
4705,180,15,79,95,1
4706,180,60,121,181,1
4707,180,31,87,118,1
4708,180,15,25,40,1
4709,180,35,119,154,1
4710,180,47,98,145,1
4711,180,88,191,284,1
4712,180,36,389,432,1
4713,180,84,179,270,1
4714,180,63,162,227,1
4715,180,112,173,291,1
4716,180,33,132,168,1
4717,180,45,147,194,1
4718,180,59,105,164,1
4719,180,47,52,101,1
4720,180,23,94,119,1
4721,180,64,142,210,1
4722,180,5,22,27,1
4723,180,3,15,18,1
4724,180,70,83,158,1
4725,180,44,76,122,1
4726,180,131,177,321,1
4727,180,32,101,135,1
4728,180,40,81,122,1
